x	y
0	0.0106811
0.0204082	-0.147137
0.0408163	-0.0348623
0.0612245	0.0365692
0.0816327	0.120291
0.102041	0.108419
0.122449	0.099197
0.142857	-0.000932327
0.163265	-0.00577788
0.183673	0.189824
0.204082	0.309341
0.22449	0.0882518
0.244898	0.347645
0.265306	0.151248
0.285714	0.158874
0.306122	0.285194
0.326531	0.396722
0.346939	0.134674
0.367347	0.28066
0.387755	0.467566
0.408163	0.425241
0.428571	0.487756
0.44898	0.468837
0.469388	0.293947
0.489796	0.473759
0.510204	0.534153
0.530612	0.447494
0.55102	0.756293
0.571429	0.516323
0.591837	0.568506
0.612245	0.796283
0.632653	0.837645
0.653061	0.625433
0.673469	0.747148
0.693878	0.695576
0.714286	0.707035
0.734694	0.790396
0.755102	0.720272
0.77551	0.913094
0.795918	0.628654
0.816327	0.87550
0.836735	0.964977
0.857143	0.905478
0.877551	0.819505
0.897959	0.860447
0.918367	0.823178
0.938776	1.05678
0.959184	0.641078
0.979592	0.954278
1	0.950074
